#z rho
118657155.4 1.5354E-11
364327309.4 1.53625E-11
619631485.8 1.52948E-11
889386651.3 1.52226E-11
1173592683 1.51062E-11
1472249427 1.5085E-11
1785356694 1.49682E-11
2117731272 1.48019E-11
2464555842 1.45597E-11
2830647053 1.44031E-11
3216004453 1.42987E-11
3625444429 1.41774E-11
4054149356 1.40338E-11
4502118485 1.39016E-11
4978984559 1.35687E-11
5475112763 1.32176E-11
6000135303 1.30491E-11
6554050425 1.2978E-11
7136856094 1.28347E-11
7748549965 1.24245E-11
8393945675 1.18738E-11
9073039792 1.15539E-11
9790644441 1.09997E-11
10541938742 1.04923E-11
11331733259 1.00343E-11
12164837084 9.40136E-12
13041242226 8.67237E-12
13965754615 7.58877E-12
14938363052 3.81703E-12
15963869212 2.02673E-13
17037443517 1.34193E-13
18173510481 1.18613E-13
19362421206 1.07012E-13
20618591075 1.01903E-13
21941989578 1.0025E-13
23332582089 9.70676E-14
24795140156 9.36314E-14
